title,subject,interal_id,url,id_number,description
Getting started,College admissions,x470cb2e4,https://www.khanacademy.org/college-careers-more/college-admissions/get-started,get-started,Thinking about a 4-year college but not sure whether it's right for you?  This is the place to start!  Learn more about what happens during college  why it matters for your future  and the wide range of students who have chosen to attend.
Making high school count,College admissions,x9f996caa,https://www.khanacademy.org/college-careers-more/college-admissions/making-high-school-count,making-high-school-count,Whether you're just entering 9th grade or in the thick of your junior year  it's never too early to begin thinking about college.  Find out how your academic record  extracurricular activities  and standardized test results impact the college admissions process.
Exploring college options,College admissions,x53b1e407,https://www.khanacademy.org/college-careers-more/college-admissions/explore-college-options,explore-college-options,There are nearly 3 000 colleges in the United States that offer 4-year degrees.  The sheer variety of options  from rural liberal arts colleges to public state universities  can feel overwhelming.  After you understand the differences between what's out there and begin to get a sense of what you want  however  the choice becomes infinitely more manageable!
Applying to college,College admissions,xfcbf76a2,https://www.khanacademy.org/college-careers-more/college-admissions/applying-to-college,applying-to-college,Once you've decided on several target schools  it's time to put together the all-important college application!  Prepare yourself for success with guidance from experts on topics such as admissions essays  letters of recommendation  and alumni interviews.
Paying for college,College admissions,xf0a5ba61,https://www.khanacademy.org/college-careers-more/college-admissions/paying-for-college,paying-for-college,Getting into the college of your dreams is nice  but figuring out how to afford attending that college is even better!  Learn how to navigate the financial aid process with guidance on everything from filling out the FAFSA to identifying high priority scholarships.
Wrapping up,College admissions,x40faa483,https://www.khanacademy.org/college-careers-more/college-admissions/wrapping-up,wrapping-up,There is nothing more exciting than making the final decision on which college to attend.  It takes hard work to get to this point  but you've made it.  Now sit back  breathe a sigh of relief  and then learn a bit more about what comes next!
Life after college,College admissions,xd273da73f70a3e5b,https://www.khanacademy.org/college-careers-more/college-admissions/life-after-college,life-after-college,Thinking about what to do next? We're developing a new series to answer tough questions about your career and your finances.
Getting started,College admissions,x470cb2e4,https://www.khanacademy.org/college-careers-more/college-admissions/get-started,get-started,Thinking about a 4-year college but not sure whether it's right for you?  This is the place to start!  Learn more about what happens during college  why it matters for your future  and the wide range of students who have chosen to attend.
Making high school count,College admissions,x9f996caa,https://www.khanacademy.org/college-careers-more/college-admissions/making-high-school-count,making-high-school-count,Whether you're just entering 9th grade or in the thick of your junior year  it's never too early to begin thinking about college.  Find out how your academic record  extracurricular activities  and standardized test results impact the college admissions process.
Exploring college options,College admissions,x53b1e407,https://www.khanacademy.org/college-careers-more/college-admissions/explore-college-options,explore-college-options,There are nearly 3 000 colleges in the United States that offer 4-year degrees.  The sheer variety of options  from rural liberal arts colleges to public state universities  can feel overwhelming.  After you understand the differences between what's out there and begin to get a sense of what you want  however  the choice becomes infinitely more manageable!
Applying to college,College admissions,xfcbf76a2,https://www.khanacademy.org/college-careers-more/college-admissions/applying-to-college,applying-to-college,Once you've decided on several target schools  it's time to put together the all-important college application!  Prepare yourself for success with guidance from experts on topics such as admissions essays  letters of recommendation  and alumni interviews.
Paying for college,College admissions,xf0a5ba61,https://www.khanacademy.org/college-careers-more/college-admissions/paying-for-college,paying-for-college,Getting into the college of your dreams is nice  but figuring out how to afford attending that college is even better!  Learn how to navigate the financial aid process with guidance on everything from filling out the FAFSA to identifying high priority scholarships.
Wrapping up,College admissions,x40faa483,https://www.khanacademy.org/college-careers-more/college-admissions/wrapping-up,wrapping-up,There is nothing more exciting than making the final decision on which college to attend.  It takes hard work to get to this point  but you've made it.  Now sit back  breathe a sigh of relief  and then learn a bit more about what comes next!
Life after college,College admissions,xd273da73f70a3e5b,https://www.khanacademy.org/college-careers-more/college-admissions/life-after-college,life-after-college,Thinking about what to do next? We're developing a new series to answer tough questions about your career and your finances.
Navigate your career,Careers,xb7c59b4bf9db1331,https://www.khanacademy.org/college-careers-more/career-content/career-profile-videos,career-profile-videos,Are you wondering how to land your dream job or negotiate your salary? We ask real people in real jobs how they make it all work in our video series about careers. In addition  explore articles and videos that will help you land a job and make strong financial decisions.
Serve your community,Careers,x717b9de0dd11f7af,https://www.khanacademy.org/college-careers-more/career-content/serve-your-community,serve-your-community,Are you driven to help others? These careers enable you to give back to your community through public service  missions work  or emergency response.
Support health and wellness,Careers,xe8564741cb1c2c62,https://www.khanacademy.org/college-careers-more/career-content/support-health-and-wellness,support-health-and-wellness,Whether you're interested in direct interaction with patients or working behind the scenes to improve systems  the healthcare field provides several avenues to support wellness.
Work in tech,Careers,xf542f718b67d21fe,https://www.khanacademy.org/college-careers-more/career-content/work-in-tech,work-in-tech,The tech field is vast and growing with several avenues to explore  from engineering to design to business management.
Advertise and sell,Careers,xae9600f44f0afacb,https://www.khanacademy.org/college-careers-more/career-content/advertise-and-sell,advertise-and-sell,These careers put your sales skills to the test. They require strong communication and drive. (More careers will be added soon.)
Start a business or go freelance,Careers,xe53d17e4ae6ce9fb,https://www.khanacademy.org/college-careers-more/career-content/career-profiles-start-a-business,career-profiles-start-a-business,Thinking about starting your own business? Learn from the experiences of young professionals who have gone into business for themselves.
Educate,Careers,xe3cb9d1179b9c392,https://www.khanacademy.org/college-careers-more/career-content/educate,educate,Explore careers that involve teaching others  both inside and outside of a classroom environment.
Explore hospitality,Careers,xb9fac63d91b20847,https://www.khanacademy.org/college-careers-more/career-content/host-and-serve,host-and-serve,The hospitality industry encompasses many roles  from preparing delicious foods to ensuring that guests to your town have a great stay. If you're a people-person  a job in hospitality may be for you.
Design create perform,Careers,xaeb0a2b2ac600e3a,https://www.khanacademy.org/college-careers-more/career-content/design-create-perform,design-create-perform,Is creativity a driving force in your life? These careers encourage creative expression.
Conduct research,Careers,x9338d69234c89651,https://www.khanacademy.org/college-careers-more/career-content/conduct-research,conduct-research,Do you love to investigate new things? That interest can serve you well in your career. Independent inquiry is a key element of these professions.
Build and fix things,Careers,x2a45616e0ef9bfa2,https://www.khanacademy.org/college-careers-more/career-content/career-profiles-build-and-fix-things,career-profiles-build-and-fix-things,These careers require precision and problem-solving to build reliable structures and systems.
Manage people and processes,Careers,x7b6ae5d6c0011653,https://www.khanacademy.org/college-careers-more/career-content/manage-people-and-processes,manage-people-and-processes,Help organizations run more efficiently by developing procedures and supporting teams of people.
Pursue criminal justice,Careers,xbf89a62d147864ad,https://www.khanacademy.org/college-careers-more/career-content/pursue-criminal-justice,pursue-criminal-justice,These roles require ongoing training and the ability to cope with complex  and often negative  situations to uphold justice. The criminal justice field is broad - these roles represent of a few of many paths.
Analyze and advise,Careers,xa3a4ef8f66845d69,https://www.khanacademy.org/college-careers-more/career-content/analyze-and-advise,analyze-and-advise,These roles involve both extensive research and client interaction. They also require the confidence to provide high stakes business and financial advice.
Travel and explore,Careers,xc26b8dd189a26720,https://www.khanacademy.org/college-careers-more/career-content/travel-and-explore,travel-and-explore,These careers will put your navigation skills to the test  while allowing you to explore new environments. They're not your typical 9-5 job.
Saving and budgeting,Personal finance,xaa64803535759c4e,https://www.khanacademy.org/college-careers-more/personal-finance/pf-saving-and-budgeting,pf-saving-and-budgeting,To save and budget effectively  start by identifying your financial priorities. Are you saving money to travel or buy a house? Do you and your partner share the same financial goals? Sal shares advice for navigating these questions and communicating with family members about finances. Learn basic strategies for creating a budget and saving money each month.
Interest and debt,Personal finance,xefb86a261e0c284f,https://www.khanacademy.org/college-careers-more/personal-finance/pf-interest-and-debt,pf-interest-and-debt,How is interest calculated? What factors influence your credit score? What is the impact of only paying the minimum balance on your credit card? Build your knowledge of these key financial topics.
Investments and retirement,Personal finance,x752a450ebb471067,https://www.khanacademy.org/college-careers-more/personal-finance/pf-investment-vehicles-insurance-and-retirement,pf-investment-vehicles-insurance-and-retirement,Stocks  bonds  mutual funds  401(k)s...learn about different options for investing your money and saving for retirement.
Income and benefits,Personal finance,xc2bdf62e03d8153a,https://www.khanacademy.org/college-careers-more/personal-finance/income,income,Why is your paycheck smaller than you expected? What are all those deductions? Learn about the factors that impact your take home pay.
