title,subject,interal_id,url,id_number,description
One-dimensional motion,Physics,x4549128e,https://www.khanacademy.org/science/physics/one-dimensional-motion,one-dimensional-motion,In this tutorial we begin to explore ideas of velocity and acceleration.  We do exciting things like throw things off cliffs (far safer on paper than in real life) and see how high a ball will fly in the air.
Two-dimensional motion,Physics,xb32c33a3,https://www.khanacademy.org/science/physics/two-dimensional-motion,two-dimensional-motion,You understand velocity and acceleration well in one-dimension.  Now we can explore scenarios that are even more fun.  With a little bit of trigonometry (you might want to review your basic trig  especially what sin and cos are)  we can think about whether a baseball can clear the "green monster" at Fenway Park.
Forces and Newton's laws of motion,Physics,x85860e19,https://www.khanacademy.org/science/physics/forces-newtons-laws,forces-newtons-laws,This is the meat of much of classical physics.  We think about what a force is and how Newton changed the world's (and possibly your) view of how reality works.
Centripetal force and gravitation,Physics,x67fd0677,https://www.khanacademy.org/science/physics/centripetal-force-and-gravitation,centripetal-force-and-gravitation,Learn about centripetal acceleration and centripetal force. Also  learn about the universal law of gravitation and gravitational orbits.
Work and energy,Physics,xbb0e99c9,https://www.khanacademy.org/science/physics/work-and-energy,work-and-energy,"Energy" is a word that's used a lot. Here  you'll learn about how it's one of the most useful concepts in physics. Along the way  we'll talk about work  kinetic energy  potential energy  conservation of energy  and mechanical advantage.
Impacts and linear momentum,Physics,xbcbeda4a,https://www.khanacademy.org/science/physics/linear-momentum,linear-momentum,Momentum ties velocity and mass into one quantity. It might not be obvious why this is useful  but momentum has this cool property where the total amount of it never changes. This is called the conservation of momentum  and we can use it to analyze collisions and other interactions. Bam!
Torque and angular momentum,Physics,x6e1d9254,https://www.khanacademy.org/science/physics/torque-angular-momentum,torque-angular-momentum,Everything you've learned about motion  forces  energy  and momentum can be reused to analyze rotating objects. There are some differences  though. Here  you'll learn about rotational motion  moments  torque  and angular momentum.
Oscillations and mechanical waves,Physics,x9e83de9f,https://www.khanacademy.org/science/physics/mechanical-waves-and-sound,mechanical-waves-and-sound,Waves are responsible for basically every form of communication we use. Whether you're talking out loud  texting on your phone  or waving to someone in a crowd there's going to be a wave transmitting information. Learn about the basics of waves in this topic  then learn more about light waves in the topics below.
Fluids,Physics,x312959d8,https://www.khanacademy.org/science/physics/fluids,fluids,Atmospheric pressure is like an invisible friend who is always squeezing you with a big hug. Learn more about pressure  buoyant force  and flowing fluid so you can appreciate the sometimes invisible  but crucial  effect they have on us and the world around us.
Thermodynamics,Physics,xacf207fb,https://www.khanacademy.org/science/physics/thermodynamics,thermodynamics,Heat can be useful  but it can also be annoying. Understanding heat and the flow of heat allows us to build heat sinks that prevent our computers from overheating  build better engines  and prevent freeway overpasses from cracking.
Electric charge field and potential,Physics,x7d6389b1,https://www.khanacademy.org/science/physics/electric-charge-electric-force-and-voltage,electric-charge-electric-force-and-voltage,Electric forces hold together the atoms and molecules in your eyes which allow you to read this sentence. Take a moment and learn about the force that holds our bodies together.
Circuits,Physics,xce59fb3b,https://www.khanacademy.org/science/physics/circuits-topic,circuits-topic,Circuits make computers  digital cameras  and video games possible. Circuits are driving an unprecedented rate of change in how we live. In this topic you'll learn about the physics behind the electronic devices we use.
Magnetic forces magnetic fields and Faraday's law,Physics,x6bdde36c,https://www.khanacademy.org/science/physics/magnetic-forces-and-magnetic-fields,magnetic-forces-and-magnetic-fields,Magnetic fields are extremely useful. The magnetic field of the Earth shields us from harmful radiation from the Sun  magnetic fields allow us to diagnose medical problems using an MRI  and magnetic fields are a key component in generating electrical power in most power plants. In this topic you'll learn about the forces  fields  and laws that makes these and so many other applications possible.
Electromagnetic waves and interference,Physics,x1e518b33,https://www.khanacademy.org/science/physics/light-waves,light-waves,Light can seem mysterious. What is light made out of? What causes color? How do 3D movies work? Learn about some of the mysterious properties of light in these tutorials.
Geometric optics,Physics,xe70fb08c,https://www.khanacademy.org/science/physics/geometric-optics,geometric-optics,Light waves can be bent and reflected to form new and sometimes altered images. Understanding how light rays can be manipulated allows us to create better contact lenses  fiber optic cables  and high powered telescopes.
Special relativity,Physics,xf3769137,https://www.khanacademy.org/science/physics/special-relativity,special-relativity,Think you know about time and space? Think again. Einstein basically did a pile driver on all our brains when he came up with his theory of special relativity.
